Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/21  14:00:00,129772248.2375175,0.0,0.0,0.0,234110414.2794489,234110414.2794489,6791184.0 
 01/21  15:00:00,126708846.04504556,0.0,0.0,0.0,231364588.32575656,231364588.32575656,6791184.0 
 01/21  16:00:00,123928508.52556652,0.0,0.0,0.0,228877802.25571738,228877802.25571738,6791184.0 
 01/21  17:00:00,121263982.83467803,0.0,0.0,0.0,226485419.2466686,226485419.2466686,6791184.0 
 01/21  18:00:00,119155534.94784808,0.0,0.0,0.0,224631293.44054354,224631293.44054354,6791184.0 
 01/21  19:00:00,101472955.13806676,4317748.248284989,0.0,0.0,176687968.6514331,176687968.65143315,6791184.0 
 01/21  20:00:00,78018932.07175753,52512.879613131736,0.0,0.0,166557453.70550288,166557453.70550288,6791184.0 
 01/21  21:00:00,54641798.71822177,62476.663251537684,0.0,0.0,117854604.42043604,117854604.42043606,6791184.0 
 01/21  22:00:00,86850986.97613797,130590.79786521377,0.0,0.0,176086659.52991048,176086659.52991048,6791184.0 
 01/21  23:00:00,2452998.095665002,23060992.45779364,0.0,0.0,14052034.246372013,14052034.246372013,6791184.0 
 01/21  24:00:00,0.0,0.0,0.0,0.0,11497495.609756098,11497495.609756098,6791184.0 
 01/21  01:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  02:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  03:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  04:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  05:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  06:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
