Date/Time,Environment:Site Wind Speed [m/s](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  06:00:00,7.6,0.0,0.0,0.0,0.0,0.0 
 01/21  07:00:00,7.6,0.0,57995941.070617739,31633295.629830313,0.0,0.0 
 01/21  08:00:00,7.6,0.0,216871889.25998564,2200809.4431306088,0.0,0.0 
 01/21  09:00:00,7.6,0.0,160939984.64396698,0.0,0.0,0.0 
 01/21  10:00:00,7.6,0.0,146396392.52416478,0.0,0.0,0.0 
 01/21  11:00:00,7.6,0.0,138729438.35947628,0.0,0.0,0.0 
 01/21  12:00:00,7.6,0.0,133201442.16232066,0.0,0.0,0.0 
 01/21  13:00:00,7.6,0.0,128983081.55092697,0.0,0.0,0.0 
 01/21  14:00:00,7.6,0.0,125383005.56248719,0.0,0.0,0.0 
 01/21  15:00:00,7.6,0.0,122270289.37513112,0.0,0.0,0.0 
 01/21  16:00:00,7.6,0.0,119441774.32233536,0.0,0.0,0.0 
 01/21  17:00:00,7.6,0.0,116730683.16335784,0.0,0.0,0.0 
 01/21  18:00:00,7.6,0.0,114577520.40313334,0.0,0.0,0.0 
 01/21  19:00:00,7.6,0.0,102933847.4550147,4928499.25812479,0.0,0.0 
 01/21  20:00:00,7.6,0.0,83824523.44077814,43468.21649464418,0.0,0.0 
 01/21  21:00:00,7.6,0.0,58951451.4454282,55155.222033802056,0.0,0.0 
 01/21  22:00:00,7.6,0.0,94652723.92392585,116457.40975165808,0.0,0.0 
 01/21  23:00:00,7.6,0.0,2262162.6876151359,23662066.026299389,0.0,0.0 
 01/21  24:00:00,7.6,0.0,0.0,0.0,0.0,0.0 
 01/21  01:00:00,6.7,0.0,0.0,0.0,0.0,0.0 
 01/21  02:00:00,6.7,0.0,0.0,0.0,0.0,0.0 
 01/21  03:00:00,6.7,0.0,0.0,0.0,0.0,0.0 
 01/21  04:00:00,6.7,0.0,0.0,0.0,0.0,0.0 
 01/21  05:00:00,6.7,0.0,0.0,0.0,0.0,0.0 
 01/21  06:00:00,6.7,0.0,0.0,0.0,0.0,0.0 
 01/21  07:00:00,6.7,0.0,60244828.393040169,30561063.589053144,0.0,0.0 
 01/21  08:00:00,6.7,0.0,220608975.61943145,2197737.8108465808,0.0,0.0 
 01/21  09:00:00,6.7,0.0,164208505.9785191,0.0,0.0,0.0 
 01/21  10:00:00,6.7,0.0,149449429.2225861,0.0,0.0,0.0 
 01/21  11:00:00,6.7,0.0,141661459.11731569,0.0,0.0,0.0 
 01/21  12:00:00,6.7,0.0,136047030.77129445,0.0,0.0,0.0 
 01/21  13:00:00,6.7,0.0,131759171.57140833,0.0,0.0,0.0 
 01/21  14:00:00,6.7,0.0,128100084.48837136,0.0,0.0,0.0 
 01/21  15:00:00,6.7,0.0,124935489.389902,0.0,0.0,0.0 
 01/21  16:00:00,6.7,0.0,122061331.77655688,0.0,0.0,0.0 
 01/21  17:00:00,6.7,0.0,119309906.63626501,0.0,0.0,0.0 
 01/21  18:00:00,6.7,0.0,117120950.14502436,0.0,0.0,0.0 
 01/21  19:00:00,6.7,0.0,103748279.8400102,5033350.796698257,0.0,0.0 
 01/21  20:00:00,6.7,0.0,84367520.46203973,44439.384308260735,0.0,0.0 
 01/21  21:00:00,6.7,0.0,59256471.300088997,56237.83099636002,0.0,0.0 
 01/21  22:00:00,6.7,0.0,95090093.80883438,118759.27896371213,0.0,0.0 
 01/21  23:00:00,6.7,0.0,2302273.8216939,23180323.19177303,0.0,0.0 
 01/21  24:00:00,6.7,0.0,0.0,0.0,0.0,0.0 
 07/21  01:00:00,2.4,0.0,1893050.7541465876,219695329.40928985,152517470.7542746,224813060.55296705 
 07/21  02:00:00,2.4,0.0,1193339.925626008,223837189.77102817,152517470.7542746,224813060.55296705 
 07/21  03:00:00,2.4,0.0,1212557.660871366,155529500.31080879,152517470.7542746,224813060.55296705 
 07/21  04:00:00,2.4,0.0,2326667.809028264,242027594.51249043,152517470.7542746,224813060.55296705 
 07/21  05:00:00,2.4,0.0,1151592.9042413075,231871721.27378948,152517470.7542746,224813060.55296705 
 07/21  06:00:00,2.4,0.0145891147909559,1267777.6793105957,196514145.6001519,152517470.7542746,224813060.55296705 
 07/21  07:00:00,2.4,56.34860986772071,763087.6600394545,490262876.56751796,131886500.00307139,224813060.55296705 
 07/21  08:00:00,2.4,231.85959147294114,0.0,648659871.560386,119991185.40467142,224813060.55296705 
 07/21  09:00:00,2.4,375.607302565397,0.0,650472374.8190026,119991185.40467142,224813060.55296705 
 07/21  10:00:00,2.4,470.73042604296429,0.0,669554131.5257899,119991185.40467142,224813060.55296705 
 07/21  11:00:00,2.4,529.8608859013466,0.0,677032530.942424,119991185.40467142,224813060.55296705 
 07/21  12:00:00,2.4,561.7438609980454,0.0,672047468.0629921,119991185.40467142,224813060.55296705 
 07/21  13:00:00,2.4,570.8458267551066,0.0,664038895.6738786,119991185.40467142,224813060.55296705 
 07/21  14:00:00,2.4,558.4131747035665,0.0,674868311.0020208,119991185.40467142,224813060.55296705 
 07/21  15:00:00,2.4,522.7428547735229,0.0,687549167.8505787,119991185.40467142,224813060.55296705 
 07/21  16:00:00,2.4,458.79708920135365,0.0,690654626.3725233,119991185.40467142,224813060.55296705 
 07/21  17:00:00,2.4,357.08032063725866,0.0,673934807.514224,119991185.40467142,224813060.55296705 
 07/21  18:00:00,2.4,205.1994120596819,0.0,630697154.2868215,120131322.63904399,224813060.55296705 
 07/21  19:00:00,2.4,36.8684596217668,0.0,570060101.3086324,136951668.73134173,224813060.55296705 
 07/21  20:00:00,2.4,0.0,0.0,534023807.4176022,152517470.7542746,224813060.55296705 
 07/21  21:00:00,2.4,0.0,0.0,513824737.4457526,152517470.7542746,224813060.55296705 
 07/21  22:00:00,2.4,0.0,0.0,499163825.0611425,152517470.7542746,224813060.55296705 
 07/21  23:00:00,2.4,0.0,3176840.443380799,150570708.53656454,152517470.7542746,224813060.55296705 
 07/21  24:00:00,2.4,0.0,2354193.214302466,161062025.86473147,152517470.7542746,224813060.55296705 
 07/21  01:00:00,2.4,0.0,1777047.3938970753,216202322.55470867,152517470.7542746,224813060.55296705 
 07/21  02:00:00,2.4,0.0,1204858.1602205989,222253048.21131198,152517470.7542746,224813060.55296705 
 07/21  03:00:00,2.4,0.0,1220036.7609288269,154132660.1927808,152517470.7542746,224813060.55296705 
 07/21  04:00:00,2.4,0.0,2366899.6744517695,239925623.1026833,152517470.7542746,224813060.55296705 
 07/21  05:00:00,2.4,0.0,1167060.8653872745,230038518.58681727,152517470.7542746,224813060.55296705 
