Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/21  03:00:00,0.0,1866927.2847461245,87973618.99078352,14265108.0 
 07/21  04:00:00,0.0,2293394.081850304,87973618.99078352,14265108.0 
 07/21  05:00:00,0.0,2621153.5367782979,87973618.99078352,14265108.0 
 07/21  06:00:00,0.0,2557454.9074391068,87798374.58425924,14265108.0 
 07/21  07:00:00,0.0,2287455.7328827839,76093310.80456285,14265108.0 
 07/21  08:00:00,66603.41243136609,3239240.198385209,60662029.98264762,14265108.0 
 07/21  09:00:00,1934368.3833664223,12286284.439204066,51477300.867576319,36405432.0 
 07/21  10:00:00,3911453.5022130475,10255620.41192267,46820255.119036469,36405432.0 
 07/21  11:00:00,5653669.817451492,10567079.703898726,45086619.219095777,36405432.0 
 07/21  12:00:00,6847405.993132649,11026548.208797157,45026190.11339775,36405432.0 
 07/21  13:00:00,7759005.669945078,11188806.08622563,45026190.11339775,14265108.0 
 07/21  14:00:00,6185339.374551873,12651268.532125647,44784473.690605659,36405432.0 
 07/21  15:00:00,5828744.829397773,13713461.355411776,45690010.36391195,36405432.0 
 07/21  16:00:00,7572360.960059846,14222038.707647063,49182794.67525414,36405432.0 
 07/21  17:00:00,7066473.984082822,14085636.690569884,59790509.99128908,36405432.0 
 07/21  18:00:00,6264015.889268489,12406140.178637032,71562486.74439627,14265108.0 
 07/21  19:00:00,6423522.5502630439,0.0,86240203.56941432,14265108.0 
 07/21  20:00:00,4858475.102539292,0.0,87973618.99078352,14265108.0 
 07/21  21:00:00,3808409.5624363238,0.0,87973618.99078352,14265108.0 
 07/21  22:00:00,2494702.3049457955,0.0,87973618.99078352,14265108.0 
 07/21  23:00:00,1336245.8978712003,0.0,87973618.99078352,14265108.0 
 07/21  24:00:00,305236.50921345179,32971.06644468022,87973618.99078352,14265108.0 
 07/21  01:00:00,0.0,885510.0131212748,87973618.99078352,14265108.0 
 07/21  02:00:00,0.0,1577836.4925674196,87973618.99078352,14265108.0 
 07/21  03:00:00,0.0,2046163.0745173854,87973618.99078352,14265108.0 
 07/21  04:00:00,0.0,2471426.940158721,87973618.99078352,14265108.0 
 07/21  05:00:00,0.0,2798219.5291557509,87973618.99078352,14265108.0 
 07/21  06:00:00,0.0,2733995.374873519,87798374.58425924,14265108.0 
 07/21  07:00:00,0.0,2465113.995093013,76093310.80456285,14265108.0 
 07/21  08:00:00,28559.818026439825,3275253.797287874,60662029.98264762,14265108.0 
 07/21  09:00:00,1777755.5588976199,12273132.272938764,51477300.867576319,36405432.0 
 07/21  10:00:00,3756913.8649534059,10242583.155058258,46820255.119036469,36405432.0 
 07/21  11:00:00,5503964.536156034,10518008.075697089,45026190.11339775,36405432.0 
 07/21  12:00:00,6701371.042994369,11009768.300756989,45026190.11339775,36405432.0 
 07/21  13:00:00,7616352.789200446,11144128.907727348,44965761.00769973,14265108.0 
 07/21  14:00:00,6306851.587457713,12634219.516738566,44784473.690605659,36405432.0 
 07/21  15:00:00,5886904.118369128,13701330.014540859,44784473.690605659,36405432.0 
 07/21  16:00:00,7520709.167914919,14212050.330949868,49182794.67525414,36405432.0 
 07/21  17:00:00,7026170.819241479,14072649.857461574,59790509.99128908,36405432.0 
 07/21  18:00:00,6112551.452566994,12393324.841836358,71562486.74439627,14265108.0 
 07/21  19:00:00,6220603.457780304,0.0,86240203.56941432,14265108.0 
 07/21  20:00:00,4649732.6045933519,0.0,87973618.99078352,14265108.0 
 07/21  21:00:00,3597382.1193189227,0.0,87973618.99078352,14265108.0 
 07/21  22:00:00,2291055.400064948,0.0,87973618.99078352,14265108.0 
 07/21  23:00:00,1142895.2405587368,0.0,87973618.99078352,14265108.0 
 07/21  24:00:00,177114.6327544393,90556.96038208279,87973618.99078352,14265108.0 
 07/21  01:00:00,0.0,2657611.0112849439,87973618.99078352,14265108.0 
 07/21  02:00:00,0.0,3341914.073608093,87973618.99078352,14265108.0 
 07/21  03:00:00,0.0,3803869.897333348,87973618.99078352,14265108.0 
 07/21  04:00:00,0.0,4223719.041069241,87973618.99078352,14265108.0 
 07/21  05:00:00,0.0,4545672.186301872,87973618.99078352,14265108.0 
 07/21  06:00:00,0.0,4479335.119100523,87798374.58425924,14265108.0 
 07/21  07:00:00,0.0,4231466.038545411,76268555.21108711,14265108.0 
 07/21  08:00:00,0.0,3978148.274840519,60662029.98264762,14265108.0 
 07/21  09:00:00,448921.41100205088,12039784.714802698,51477300.867576319,36405432.0 
 07/21  10:00:00,2284711.9764355875,9925476.03066428,46820255.119036469,36405432.0 
 07/21  11:00:00,4029316.7378570905,10229264.568243027,45026190.11339775,36405432.0 
 07/21  12:00:00,5210702.213274413,10716230.127823256,45026190.11339775,36405432.0 
 07/21  13:00:00,6117796.82665642,10845815.440247905,44965761.00769973,14265108.0 
 07/21  14:00:00,6786627.183629248,12328523.627975882,44784473.690605659,36405432.0 
 07/21  15:00:00,6998896.858600884,13411869.974449253,44784473.690605659,36405432.0 
 07/21  16:00:00,6575772.229830105,13936898.200428945,49182794.67525414,36405432.0 
